url,name,product_number,cas_labeled,cas_unlabeled,synonyms,formula,molecular_weight,isotopic_enrichment,chemical_purity,description,image_url,page_title
https://isotope.com/carbohydrates/d-glucose-1-13c-6-13c-6-6-d2-cdlm-4895,"D-Glucose (1-¹³C, 99%; 6-¹³C, 97%; 6,6-D₂, 97%)",DLM-4895,157171-80-7,50-99-7,D-Glucopyranose; Dextrose; D-GLC; Labeled glucose,C4*C2H10D2O6,184.15,,98%,,https://isotope.com/product/image/medium/cdlm-4895-pk_1.jpg,"D-Glucose (1-¹³C, 99%; 6-¹³C, 97%; 6,6-D₂, 98%) - Cambridge Isotope Laboratories, CDLM-4895-PK"
https://isotope.com/minimal-media-reagents/d-glucose-u-13c6-clm-1396-1,"D-Glucose (U-¹³C₆, 99%)",CLM-1396-1,110187-42-3,50-99-7,D-Glucopyranose; Dextrose; D-GLC; Labeled glucose,HO*CH2(*CHOH)4*CHO,186.11,,98%,,https://isotope.com/product/image/medium/clm-1396-1_clm-1396-pk_1.jpg,"D-Glucose (¹³C₆, 99%) - Cambridge Isotope Laboratories, CLM-1396-1"
https://isotope.com/dimethyl-sulfoxide-d6-dlm-10-10,"Dimethyl sulfoxide-D₆ (D, 99.9%)",DLM-10-10,2206-27-1,67-68-5,DMSO-d6; Methyl sulfoxide-d6; Hexadeuterodimethyl sulfoxide; (Methanesulfinyl)methane-d6,CD3SOCD3,84.17,,99.5%,,https://isotope.com/product/image/medium/dlm-10-10_dlm-10-pk_1.jpg,"Dimethyl sulfoxide-d₆ - Cambridge Isotope Laboratories, DLM-10-10"
